file_name,skills
18176523.pdf,[]
25857360.pdf,[]
39718499.pdf,['Teamwork']
40018190.pdf,[]
31243710.pdf,[]
25990239.pdf,[]
52246737.pdf,[]
19201175.pdf,[]
36434348.pdf,"['C++', 'C++']"
25207620.pdf,[]
12635195.pdf,"['Python', 'Python', 'Java']"
26746496.pdf,"['Java', 'C++']"
23666211.pdf,[]
24038620.pdf,[]
29051656.pdf,[]
33381211.pdf,[]
10840430.pdf,[]
28697203.pdf,[]
38753827.pdf,[]
27372171.pdf,[]
24889109.pdf,[]
15802627.pdf,[]
41344156.pdf,[]
21283365.pdf,[]
19796840.pdf,[]
20001721.pdf,[]
10247517.pdf,[]
13385306.pdf,[]
20674668.pdf,"['C++', 'Java', 'Python', 'Java']"
24230851.pdf,[]
33241454.pdf,[]
22450718.pdf,[]
26768723.pdf,[]
35325329.pdf,[]
39413067.pdf,"['C++', 'Java', 'C++', 'Java']"
12334140.pdf,[]
12045067.pdf,[]
83816738.pdf,"['Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java', 'Java']"
27295996.pdf,[]
28035460.pdf,[]
81761658.pdf,[]
23527321.pdf,[]
10641230.pdf,"['Java', 'Java', 'Java', 'Java']"
17681064.pdf,[]
27770859.pdf,[]
51639418.pdf,[]
11584809.pdf,[]
27058381.pdf,[]
37764298.pdf,[]
15297298.pdf,[]
25959103.pdf,[]
46260230.pdf,[]
27485716.pdf,[]
16899268.pdf,[]
18301617.pdf,"['teamwork', 'teamwork', 'teamwork']"
17987433.pdf,[]
26801767.pdf,[]
16533554.pdf,[]
32959732.pdf,[]
28126340.pdf,[]
15118506.pdf,[]
89413122.pdf,[]
64017585.pdf,[]
66832845.pdf,[]
26480367.pdf,"['python', 'python']"
20408458.pdf,[]
24913648.pdf,[]
13477922.pdf,[]
18752129.pdf,[]
91121135.pdf,[]
15791766.pdf,[]
17641670.pdf,['teamwork']
31111279.pdf,[]
91697974.pdf,[]
79541391.pdf,[]
25905275.pdf,[]
91635250.pdf,[]
68460556.pdf,[]
20824105.pdf,"['Python', 'Python', 'Python', 'Python', 'Python', 'Python', 'Python', 'Python']"
10089434.pdf,"['C++', 'Java']"
24083609.pdf,[]
28672970.pdf,[]
12763627.pdf,[]
92069209.pdf,[]
17111768.pdf,[]
29975124.pdf,"['C++', 'C++']"
52618188.pdf,[]
18187364.pdf,[]
90867631.pdf,"['C++', 'C++']"
70089206.pdf,['Java']
23864648.pdf,[]
13836471.pdf,[]
30223363.pdf,"['C++', 'Java', 'C++', 'Java']"
11580408.pdf,[]
36856210.pdf,[]
48037995.pdf,[]
19850482.pdf,"['teamwork', 'teamwork']"
17688766.pdf,[]
20024870.pdf,['Java']
18159866.pdf,[]
11957080.pdf,['teamwork']
20879311.pdf,[]
16186411.pdf,"['C++', 'Java', 'Java', 'C++']"
51363762.pdf,[]
10553553.pdf,[]
37242217.pdf,"['Java', 'C++', 'C++', 'Java']"
10265057.pdf,"['C++', 'Python', 'Java', 'C++', 'Java', 'Python']"
57002858.pdf,[]
10839851.pdf,[]
21780877.pdf,[]
18067556.pdf,"['Python', 'Python', 'Python', 'Python']"
20237244.pdf,[]
22776912.pdf,[]
14789139.pdf,[]
15651486.pdf,[]
27536013.pdf,[]
29075857.pdf,[]
24020470.pdf,[]
13405733.pdf,"['Python', 'Python']"
28897981.pdf,[]
